[ 03:59:58.788316 ] INFO   7955 sparrow.c:307 +++++++++++++++++++++++ REQUEST START +++++++++++++++++++++
[ 03:59:58.788320 ] INFO   7955 sparrow.c:308 request is 414 bytes long
[ 03:59:58.788323 ] INFO   7955 sparrow.c:309 method is GET
[ 03:59:58.788326 ] INFO   7955 sparrow.c:310 path is /logo/ABOUT-US-LOGO3.png
[ 03:59:58.788329 ] INFO   7955 sparrow.c:311 HTTP version is 1.1
[ 03:59:58.788342 ] INFO   7955 sparrow.c:312 headers:
[ 03:59:58.788345 ] INFO   7955 sparrow.c:315 Host: 18.188.49.136:8080
[ 03:59:58.788348 ] INFO   7955 sparrow.c:315 Connection: keep-alive
[ 03:59:58.788350 ] INFO   7955 sparrow.c:315 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36
[ 03:59:58.788353 ] INFO   7955 sparrow.c:315 Accept: image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8
[ 03:59:58.788356 ] INFO   7955 sparrow.c:315 Referer: http://18.188.49.136:8080/about-us.html
[ 03:59:58.788359 ] INFO   7955 sparrow.c:315 Accept-Encoding: gzip, deflate
[ 03:59:58.788361 ] INFO   7955 sparrow.c:315 Accept-Language: en-US,en;q=0.9
[ 03:59:58.788364 ] INFO   7955 sparrow.c:317 ++++++++++++++++++++++++ REQUEST END ++++++++++++++++++++++
[ 03:59:58.793118 ] INFO   7953 sparrow.c:162 Got connection from ip:47.211.208.80, port:60151, conn_fd:18
[ 04:00:02.205658 ] INFO   7953 async_log.c:351 Log is going to be closed...
[ 04:00:05.957976 ] INFO   7954 async_log.c:351 Log is going to be closed...
[ 04:00:17.160403 ] INFO   7955 async_log.c:351 Log is going to be closed...
[ 03:59:32.778721 ] INFO   7953 sparrow.c:104 sparrow started successfully!
[ 03:59:46.952145 ] INFO   7953 sparrow.c:162 Got connection from ip:47.211.208.80, port:60149, conn_fd:13
[ 03:59:46.952167 ] INFO   7953 sparrow.c:162 Got connection from ip:47.211.208.80, port:60148, conn_fd:14
[ 03:59:51.368947 ] INFO   7955 sparrow.c:307 +++++++++++++++++++++++ REQUEST START +++++++++++++++++++++
[ 03:59:51.368955 ] INFO   7955 sparrow.c:308 request is 551 bytes long
[ 03:59:51.368958 ] INFO   7955 sparrow.c:309 method is GET
[ 03:59:51.368961 ] INFO   7955 sparrow.c:310 path is /products-zero-emmision.html
[ 03:59:51.368964 ] INFO   7955 sparrow.c:311 HTTP version is 1.1
[ 03:59:51.368966 ] INFO   7955 sparrow.c:312 headers:
[ 03:59:51.368970 ] INFO   7955 sparrow.c:315 Host: 18.188.49.136:8080
[ 03:59:51.368973 ] INFO   7955 sparrow.c:315 Connection: keep-alive
